name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Moolchand Yadav,Male,Freelancer,"July 30, 2001",India,Murder,Killed,Journalist,All other countries,2001,Freelancer
Mosaab al-Obdaallah,Male,Tishreen,"August 22, 2012",Syria,Murder,Killed,Journalist,Middle East,2012,Staff
Mosaab al-Shami,Male,Rassd News Network,"August 14, 2013",Egypt,Dangerous Assignment,Killed,Journalist,Middle East,2013,Staff
Mossab Ashour,Male,Unknown,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Mostafa Bakeer,Male,Al Aqsa TV,"November 24, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Mostafa El Sawaf,Male,MSDR News,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Mouaz Alomar (Abu Mehdi Al Hamwi),Male,Freelancer,"April 25, 2014",Syria,Crossfire,Killed,Journalist,Middle East,2014,Freelancer
Mouloud Barroudi,Male,National Agency of Filmed News,"September 25, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Staff
Mounir Bouamrane,Male,TVP,"May 7, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Mourad Hmaizi,Male,Algerian State Television,"May 27, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Moustapha Ourrad,Male,Charlie Hebdo,"January 7, 2015",France,Murder,Killed,Journalist,All other countries,2015,Staff
Muammar Khadir Abdelwahad,Male,Al-Ayn,"March 29, 2011",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2011,Staff
Mubarak al-Abadi,Male,Nabaa Media Foundation,"August 5, 2016",Yemen,Crossfire,Killed,Journalist,Middle East,2016,Staff
Muftah al-Qatrani,Male,Al-Anwar,"April 22, 2015",Libya,Murder,Killed,Journalist,All other countries,2015,Staff
Muftah Bu Zeid,Male,Brnieq,"May 26, 2014",Libya,Murder,Killed,Journalist,All other countries,2014,Staff
Muhammad al-Ban,Male,Al-Sharqiya,"November 13, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Muhammad al-Bishawi,Male,"Najah Press Office, IslamOnline","July 31, 2001",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2001,Staff
Muhammad al-Rabou'e,Male,Al-Qahira,"February 13, 2010",Yemen,Murder,Killed,Journalist,Middle East,2010,Staff
Muhammad Arif,Male,ARY Television,"October 19, 2007",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2007,Staff
Muhammad Bilal Khan,Male,Freelancer,"June 16, 2019",Pakistan,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Freelancer
Muhammad Hassan Al-Musalama,Male,Revolutionaries of Daraa Al-Muhata – Tariq Al-Sadd,"August 20, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Staff
Muhammad Sayuti Bochari,Male,Pos Makasar,"June 11, 1997",Indonesia,Murder,Killed,Journalist,All other countries,1997,Staff
Muhammad Yusuf,Male,Kemajuan Rakyat,"June 10, 2018",Indonesia,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Muhammad Zada Agra,Male,"Sada-e-Malakand,Citizen Journalist PK","November 8, 2021",Pakistan,Murder,Killed,Journalist,All other countries,2021,Staff
Muhammed Tariq Jadua,Male,Jisr Al-Shaghur Multimedia Network,"July 27, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Staff
Muhannad Ghanem Ahmad al-Obaidi,Male,Dar al-Salam,"September 20, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Muhsin Khudhair,Male,Alef Ba,"March 13, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Mukarram Khan Aatif,Male,Freelancer,"January 17, 2012",Pakistan,Murder,Killed,Journalist,All other countries,2012,Freelancer
Mukhtar Mohamed Hirabe,Male,Radio Shabelle,"June 8, 2009",Somalia,Murder,Killed,Journalist,All other countries,2009,Staff
Mukhtor Bugdiev,Male,Khovar Information Agency,"December, 1992",Tajikistan,Murder,Killed,Journalist,All other countries,1992,Staff
Munir Ahmed Sangi,Male,Kawish Television Network,"May 29, 2006",Pakistan,Crossfire,Killed,Journalist,All other countries,2006,Staff
Munir Turay,Male,Freelancer,"January, 1999",Sierra Leone,Murder,Killed,Journalist,All other countries,1999,Freelancer
Munsuf Abdallah al-Khaldi,Male,Baghdad TV,"March 7, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Murodullo Sheraliev,Male,Sadoi Mardum,"May 5, 1992",Tajikistan,Dangerous Assignment,Killed,Journalist,All other countries,1992,Staff
Musa Abdul Kareem,Male,Fasanea,"July 31, 2018",Libya,Murder,Killed,Journalist,All other countries,2018,Staff
Musa Anter,Male,Özgür Gündem,"September 20, 1992",Turkey,Murder,Killed,Journalist,Middle East,1992,Staff
Musa Khankhel,Male,Geo TV and The News,"February 18, 2009",Pakistan,Murder,Killed,Journalist,All other countries,2009,Staff
Musa Mohamed,Male,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,All other countries,2015,Staff
Musab Mahmood al-Ezawi,Male,Al-Sharqiya,"September 13, 2008",Iraq,Murder,Killed,Journalist,Middle East,2008,Staff
Mushtaq Ali,Male,Agence France-Presse and Asian News International,"September 10, 1995",India,Murder,Killed,Journalist,All other countries,1995,Staff
Mushtaq Khand,Male,Dharti Television Network and Mehran,"October 7, 2012",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2012,Staff
Mustaf Abdi Noor,Male,Freelancer,"November 1, 2015",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2015,Freelancer
Mustafa Abada,Male,Algerian State Television,"October 14, 1993",Algeria,Murder,Killed,Journalist,All other countries,1993,Staff
Mustafa Abdul Hassa,Male,Shaam News Network,October 2015 - June 2016,Syria,Murder,Killed,Journalist,Middle East,2016,Staff
Mustafa Gaimayani,Male,Kirkuk al-Yawm and Hawal,"July 16, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Mustafa Jeha,Male,Al-Amal,"January 15, 1992",Lebanon,Murder,Killed,Journalist,Middle East,1992,Staff
Mustafa Said,Male,Kurdistan TV,"August 14, 2016",Iraq,Crossfire,Killed,Journalist,Middle East,2016,Staff
Mustafa Salamah,Male,Sama TV,"July 16, 2018",Syria,Crossfire,Killed,Journalist,Middle East,2018,Staff
Muthanna Abdel Hussein,Male,Al-Iraqiya,"March 10, 2014",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2014,Staff
MVN Shankar,Male,Andhra Prabha,"November 26, 2014",India,Murder,Killed,Journalist,All other countries,2014,Staff
Myles Tierney,Male,Associated Press Television News,"January 10, 1999",Sierra Leone,Crossfire,Killed,Journalist,All other countries,1999,Staff
Mylvaganam Nimalarajan,Male,"BBC, Virakesari, Ravaya","October 19, 2000",Sri Lanka,Murder,Killed,Journalist,All other countries,2000,Staff
Nabil Hasan al-Quaety,Male,Freelancer,"June 2, 2020",Yemen,Murder,Killed,Journalist,Middle East,2020,Freelancer
Nabil Ibrahim al-Dulaimi,Male,Radio Dijla,"December 4, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Nacer Ouari,Male,Algerian State Television,"February 1, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Nadir Shah Sahibzada,Male,Sada-e-Gardiz Radio,"July 12, 2019",Afghanistan,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Nahar Ali,Male,Anirban,"April 21, 2001",Bangladesh,Murder,Killed,Journalist,All other countries,2001,Staff
Nahúm Palacios Arteaga,Male,TV Channel 5,"March 14, 2010",Honduras,Murder,Killed,Journalist,All other countries,2010,Staff
Naimatullah Zaheer,Male,Ariana News,"November 4, 2016",Afghanistan,Crossfire,Killed,Journalist,All other countries,2016,Staff
Naimullah,Male,Sinar Pagi,"July 25, 1997",Indonesia,Murder,Killed,Journalist,All other countries,1997,Staff
Najem Abed Khudair,Male,Al-Mada,"May 15, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Naji Asaad,Male,Tishreen,"December 4, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Staff
Naji Jerf,Male,"Hentah, Raqqa is Being Slaughtered Silently","December 27, 2015",Turkey,Murder,Killed,Journalist,Middle East,2015,Staff
Namik Taranci,Male,Gercek,"November 20, 1992",Turkey,Murder,Killed,Journalist,Middle East,1992,Staff
Namir Noor-Eldeen,Male,Reuters,"July 12, 2007",Iraq,Crossfire,Killed,Journalist,Middle East,2007,Staff
Napoleon Salaysay,Male,Mindanao Gazette,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Narcisse Orédjé,Male,Radio Cefod,"October 20, 2022",Chad,Dangerous Assignment,Killed,Journalist,All other countries,2022,Staff
Narendra Dabholkar,Male,Sadhana,"August 20, 2013",India,Murder,Killed,Journalist,All other countries,2013,Staff
Nasrullah Khan Afridi,Male,Pakistan Television and Mashriq,"May 10, 2011",Pakistan,Murder,Killed,Journalist,All other countries,2011,Staff
Nasseredine Lekhal,Male,El-Massa,"November 30, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Staff
Nasteh Dahir Farah,Male,Freelancer,"June 7, 2008",Somalia,Murder,Killed,Journalist,All other countries,2008,Freelancer
Nathan S. Dabak,Male,The Light Bearer,"April 24, 2010",Nigeria,Murder,Killed,Journalist,All other countries,2010,Staff
Nava Raj Sharma,Male,Kadam,"June 1, 2002",Nepal,Murder,Killed,Journalist,All other countries,2002,Staff
Naveen Gupta,Male,Hindustan,"November 30, 2017",India,Motive Unconfirmed,Killed,Journalist,All other countries,2017,Staff
Navin Nischal,Male,Dainik Bhaskar,"March 25, 2018",India,Murder,Killed,Journalist,All other countries,2018,Staff
Nazar Abdulwahid al-Radhi,Male,Aswat al-Iraq and Radio Free Iraq,"May 30, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Nazih Darwazeh,Male,APTN,"April 19, 2003",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2003,Staff
Nazim Babaoglu,Male,Ozgur Gundem,"March 12, 1994",Turkey,Motive Unconfirmed,Killed,Journalist,Middle East,1994,Staff
Néhémie Joseph,Male,"Radio Panic FM,Radio Méga","October 10, 2019",Haiti,Murder,Killed,Journalist,All other countries,2019,Staff
Nelson Carvajal Carvajal,Male,Radio Sur,"April 16, 1998",Colombia,Murder,Killed,Journalist,All other countries,1998,Staff
Nelson Matus Peña,Male,Lo Real de Guerrero,"July 15, 2023",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2023,Staff
Nevith Condés Jaramillo,Male,El Observatorio del Sur,"August 24, 2019",Mexico,Murder,Killed,Journalist,All other countries,2019,Staff
Nicanor Linhares Batista,Male,Rádio Vale do Jaguaribe,"June 30, 2003",Brazil,Murder,Killed,Journalist,All other countries,2003,Staff
Nikolai Andrushchenko,Male,Novy Peterburg,"April 19, 2017",Russia,Murder,Killed,Journalist,All other countries,2017,Staff
Niloy Neel,Male,Freelancer,"August 7, 2015",Bangladesh,Murder,Killed,Journalist,All other countries,2015,Freelancer
Nils Horner,Male,Sveriges Radio,"March 11, 2014",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2014,Staff
Niraz Saeed,Male,Freelancer,September 2016,Syria,Motive Unconfirmed,Killed,Journalist,Middle East,2016,Freelancer
Nizar Thanoun,Male,Al-Rasheed TV,"February 11, 2020",Iraq,Motive Unconfirmed,Killed,Journalist,Middle East,2020,Staff
Noel Decina,Male,Periodico Ini,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Noel López Olguín,Male,Freelancer,March 2011,Mexico,Murder,Killed,Journalist,All other countries,2011,Freelancer
Noel Villarante,Male,DZJV Radio and Laguna Score,"August 19, 2003",Philippines,Murder,Killed,Journalist,All other countries,2003,Staff
Noor Hakim Khan,Male,Daily Pakistan,"June 2, 2007",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2007,Staff
Noramfaizul Mohd,Male,Bernama TV,"September 2, 2011",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2011,Staff
Norbert Zongo,Male,L'indepéndent,"December 13, 1998",Burkina Faso,Murder,Killed,Journalist,All other countries,1998,Staff
Norberto Miranda Madrid,Male,Radio Visión,"September 23, 2009",Mexico,Murder,Killed,Journalist,All other countries,2009,Staff
Norvey Díaz,Male,Radio Colina,"October 18, 1996",Colombia,Murder,Killed,Journalist,All other countries,1996,Staff
Noufel al-Shimari,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Nour al-Din Al-Hafiri,Male,Freelancer,"September 29, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Freelancer
Noureddine Hashim,Male,Al Etihad Press,"March 8, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015,Staff
Novruzali Mamedov,Male,Talyshi Sado,"August 17, 2009",Azerbaijan,Dangerous Assignment,Killed,Journalist,All other countries,2009,Staff
Nowroz Ali Rajabi,Male,1TV,"April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018,Staff
Nun Chan,Male,Samleng Yuvachun Khmer,"September 6, 1994",Cambodia,Murder,Killed,Journalist,All other countries,1994,Staff
Nur Muse Hussein,Male,Radio IQK,"May 26, 2009",Somalia,Crossfire,Killed,Journalist,All other countries,2009,Staff
Obada Ghazal,Male,SMART News Agency,"September 26, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015,Staff
Obed Bazimaziki,Male,Le Flambeau,"April 11, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994,Staff
Obed Nangbatna,Male,Télé Tchad,"May 25, 2019",Chad,Crossfire,Killed,Journalist,All other countries,2019,Staff
Obeida abu Omar,Male,Damaski Media Agency,"March 21, 2018",Syria,Crossfire,Killed,Journalist,Middle East,2018,Staff
Octavio Rojas Hernández,Male,El Buen Tono,"August 11, 2014",Mexico,Murder,Killed,Journalist,All other countries,2014,Staff
Okezie Amaruben,Male,Newsservice,"September 2, 1998",Nigeria,Murder,Killed,Journalist,All other countries,1998,Staff
Olim Zarobekov,Male,Tajikistan Radio,"May 7, 1992",Tajikistan,Dangerous Assignment,Killed,Journalist,All other countries,1992,Staff
Olimjon Yorasonov,Male,Unknown,June or July 1993,Tajikistan,Murder,Killed,Journalist,All other countries,1993,Staff
Olimpio Jalapit Jr.,Male,DXPR Radio,"November 17, 2000",Philippines,Murder,Killed,Journalist,All other countries,2000,Staff
Olivier Quemener,Male,Freelancer,"February 1, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Freelancer
Olivier Voisin,Male,Freelancer,"February 24, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Freelancer
Omar Abdul Qader,Male,Al-Mayadeen,"March 8, 2014",Syria,Crossfire,Killed,Journalist,Middle East,2014,Staff
Omar Ezzi Mohammad,Male,Al-Maraweah Radio Broadcasting Center,"September 16, 2018",Yemen,Crossfire,Killed,Journalist,Middle East,2018,Staff
Omar Iván Camacho Mascareño,Male,"Noticieros Altavoz,Évora Sport","March 24, 2019",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Omar Ouartilan,Male,El-Khabar,"October 3, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Omar Rasim al-Qaysi,Male,Al-Anbar TV,"December 12, 2010",Iraq,Crossfire,Killed,Journalist,Middle East,2010,Staff
Omidreza Mirsayafi,Male,Rooznegar,"March 18, 2009",Iran,Dangerous Assignment,Killed,Journalist,Middle East,2009,Staff
Onifade Emmanuel Pelumi,Male,Gboah TV,"October 24-30, 2020",Nigeria,Dangerous Assignment,Killed,Journalist,All other countries,2020,Staff
Orel Sambrano,Male,ABC de la Semana and Radio América,"January 16, 2009",Venezuela,Murder,Killed,Journalist,All other countries,2009,Staff
Orhan Hijran,Male,Al-Rasheed,"October 21, 2009",Iraq,Crossfire,Killed,Journalist,Middle East,2009,Staff
Orkhan Dzhemal,Male,The Investigations Management Centre (TsUR),"July 30, 2018",Central African Republic,Murder,Killed,Journalist,All other countries,2018,Staff
Orlando “Dondon” Dinoy,Male,"Newsline Philippines,Energy FM","October 30, 2021",Philippines,Murder,Killed,Journalist,All other countries,2021,Staff
Orlando Sierra Hernández,Male,La Patria,"February 1, 2002",Colombia,Murder,Killed,Journalist,All other countries,2002,Staff
Orlando Villanueva,Male,Noticias del Puerto,"March 8, 2022",Guatemala,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Osama al-Habaly,Male,Abounaddara Collective,Date Unknown,Syria,Motive Unconfirmed,Killed,Journalist,Middle East,Unknown,Staff
Osama Jumaa,Male,Images Live,"June 5, 2016",Syria,Crossfire,Killed,Journalist,Middle East,2016,Staff
Osama Nasr al-Zoabi,Male,Syrian Media Organization (SMO),"August 21, 2017",Syria,Crossfire,Killed,Journalist,Middle East,2017,Staff
Oscar García Calderón,Male,El Espectador,"February 22, 1998",Colombia,Murder,Killed,Journalist,All other countries,1998,Staff
Othman al-Mashhadani,Male,Al-Watan,"April 6, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
P. Srinivas Rao,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment,Killed,Journalist,All other countries,1997,Staff
Pablo Emilio Medina Motta,Male,TV Garzón,"December 4, 1999",Colombia,Crossfire,Killed,Journalist,All other countries,1999,Staff
Pablo Medina Velázquez,Male,ABC Color,"October 16, 2014",Paraguay,Murder,Killed,Journalist,All other countries,2014,Staff
Pablo Morrugares Parraguirre,Male,PM Noticias,"August 2, 2020",Mexico,Murder,Killed,Journalist,All other countries,2020,Staff
Papy Mumbere Mahamba,Male,Radio Communautaire de Lwemba,"November 2, 2019",Democratic Republic of the Congo,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Parag Kumar Das,Male,Asomiya Pratidin,"May 17, 1996",India,Murder,Killed,Journalist,All other countries,1996,Staff
Paranirupasingham Devakumar,Male,News 1st,"May 28, 2008",Sri Lanka,Murder,Killed,Journalist,All other countries,2008,Staff
Parmenio Medina Pérez,Male,"""La Patada""","July 7, 2001",Costa Rica,Murder,Killed,Journalist,All other countries,2001,Staff
Parvaz Mohammed Sultan,Male,News and Feature Alliance,"January 31, 2003",India,Murder,Killed,Journalist,All other countries,2003,Staff
Paul Douglas,Male,CBS,"May 29, 2006",Iraq,Crossfire,Killed,Journalist,Middle East,2006,Staff
Paul Jenks,Male,European Pressphoto Agency,"January 17, 1992",Croatia,Crossfire,Killed,Journalist,All other countries,1992,Staff
Paul Kiggundu,Male,TOP Radio and TV,"September 11, 2010",Uganda,Murder,Killed,Journalist,All other countries,2010,Staff
Paul Klebnikov,Male,Forbes Russia,"July 9, 2004",Russia,Murder,Killed,Journalist,All other countries,2004,Staff
Paul Mansaray,Male,Standard Times,"January 9, 1999",Sierra Leone,Murder,Killed,Journalist,All other countries,1999,Staff
Paul Moran,Male,Freelancer,"March 22, 2003",Iraq,Crossfire,Killed,Journalist,Middle East,2003,Freelancer
Paúl Rivas Bravo,Male,El Comercio,"April 10-12, 2018",Colombia,Murder,Killed,Journalist,All other countries,2018,Staff
Paulos Kidane,Male,Eri-TV and Dimtsi Hafash,"June, 2007",Eritrea,Motive Unconfirmed,Killed,Journalist,All other countries,2007,Staff
Pavel Makeev,Male,Puls,"May 21, 2005",Russia,Murder,Killed,Journalist,All other countries,2005,Staff
Pavel Sheremet,Male,"Ukrainska Pravda, Radio Vesti","July 20, 2016",Ukraine,Murder,Killed,Journalist,All other countries,2016,Staff
Pedro Alfonso Flores Silva,Male,Channel 6,"September 8, 2011",Peru,Murder,Killed,Journalist,All other countries,2011,Staff
Pedro Canelas,Male,Radio Bambi,"December 19, 2020",Honduras,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
Pedro Palma,Male,Panorama Regional,"February 13, 2014",Brazil,Murder,Killed,Journalist,All other countries,2014,Staff
Pedro Yauri,Male,Radio Universal,"June 24, 1992",Peru,Murder,Killed,Journalist,All other countries,1992,Staff
Per-Ove Carlsson,Male,Freelancer,"April 29, 1992",Papua New Guinea,Murder,Killed,Journalist,All other countries,1992,Freelancer
Percival Mabasa,Male,DWBL 1242 Radio,"October 3, 2022",Philippines,Murder,Killed,Journalist,All other countries,2022,Staff
Pervez Khan,Male,Waqt TV,"December 6, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2010,Staff
Peter R. de Vries,Male,Unknown,"July 15, 2021",Netherlands,Motive Unconfirmed,Killed,Journalist,All other countries,2021,Staff
Pétion Rospide,Male,Radio Sans Fin,"June 10, 2019",Haiti,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Phamon Phonphanit,Male,Sue Samut Atyakam,"September 24, 2011",Thailand,Dangerous Assignment,Killed,Journalist,All other countries,2011,Staff
Philip Agustin,Male,Starline Times Recorder,"May 10, 2005",Philippines,Murder,Killed,Journalist,All other countries,2005,Staff
Philip True,Male,San Antonio Express-News,"December 15, 1998",Mexico,Murder,Killed,Journalist,All other countries,1998,Staff
Philippe Honoré,Male,Freelancer,"January 7, 2015",France,Murder,Killed,Journalist,All other countries,2015,Freelancer
Pierre Anceaux,Male,Freelancer,"August 31, 1994",Somalia,Murder,Killed,Journalist,All other countries,1994,Freelancer
Pierre Billaud,Male,Radio Télévision Luxembourg,"November 11, 2001",Afghanistan,Crossfire,Killed,Journalist,All other countries,2001,Staff
Pierre Kabeya,Male,Kin-Matin,"June 8, 1994",Democratic Republic of the Congo,Murder,Killed,Journalist,All other countries,1994,Staff
Pierre Zakrzewski,Male,Fox News,"March 14, 2022",Ukraine,Crossfire,Killed,Journalist,All other countries,2022,Staff
Pirimkul Sattori,Male,Khatlon,"May 28, 1993",Tajikistan,Murder,Killed,Journalist,All other countries,1993,Staff
Pradeep Bhatia,Male,The Hindustan Times,"August 10, 2000",India,Dangerous Assignment,Killed,Journalist,All other countries,2000,Staff
Prahlad Goala,Male,Asomiya Khabar,"January 6, 2006",India,Murder,Killed,Journalist,All other countries,2006,Staff
Prakash Singh Thakuri,Male,Freelancer,July 2007,Nepal,Murder,Killed,Journalist,All other countries,2007,Freelancer
Precious Owolabi,Male,Channels TV,"July 22, 2019",Nigeria,Dangerous Assignment,Killed,Journalist,All other countries,2019,Staff
Pu Tuidim,Male,Khonumthung Media Group,"January 8, 2022",Myanmar,Murder,Killed,Journalist,All other countries,2022,Staff
Puniyamoorthy Sathiyamoorthy,Male,Freelancer,"February 12, 2009",Sri Lanka,Dangerous Assignment,Killed,Journalist,All other countries,2009,Freelancer
Qais al-Jazar (Qais al-Qadhi),Male,Al-Jisr TV,"October 29, 2017",Syria,Crossfire,Killed,Journalist,Middle East,2017,Staff
Raad Mutashar,Male,Al-Raad,"May 9, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Raad Yassin Al-Baddi,Male,Salaheddin TV,"December 23, 2013",Iraq,Murder,Killed,Journalist,Middle East,2013,Staff
Rabah Zenati,Male,Algerian State Television,"August 3, 1993",Algeria,Murder,Killed,Journalist,All other countries,1993,Staff
Rabih Al Maamari,Male,Al-Mayadeen TV,"November 21, 2023",Lebanon,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Raed Fares,Male,Radio Fresh,"November 23, 2018",Syria,Murder,Killed,Journalist,Middle East,2018,Staff
Rafael Emiro Moreno Garavito,Male,Voces De Córdoba,"October 16, 2022",Colombia,Murder,Killed,Journalist,All other countries,2022,Staff
Rafael Enrique Prins Velásquez,Male,Apocalipsis,"February 19, 2005",Colombia,Murder,Killed,Journalist,All other countries,2005,Staff
Rafael Murúa Manríquez,Male,Radiokoshana FM,"January 20, 2019",Mexico,Murder,Killed,Journalist,All other countries,2019,Staff
Rafed Mahmoud Said al-Anbagy,Male,Diyala TV and Radio,"August 27, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Raffaele Ciriello,Male,Freelancer,"March 13, 2002",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2002,Freelancer
Rafiq Tagi,Male,Freelancer,"November 23, 2011",Azerbaijan,Murder,Killed,Journalist,All other countries,2011,Freelancer
Rahmatullah Nikzad,Male,Freelancer,"December 21, 2020",Afghanistan,Murder,Killed,Journalist,All other countries,2020,Freelancer
Rajdev Ranjan,Male,Hindustan,"May 13, 2016",India,Murder,Killed,Journalist,All other countries,2016,Staff
Rajesh Mishra,Male,Media Raj,"March 1, 2012",India,Murder,Killed,Journalist,All other countries,2012,Staff
Rajesh Mishra,Male,Dainik Jagran,"October 21, 2017",India,Murder,Killed,Journalist,All other countries,2017,Staff
Rajesh Verma,Male,IBN 7,"September 7, 2013",India,Dangerous Assignment,Killed,Journalist,All other countries,2013,Staff
Rakesh Sharma,Male,Aaj,"August 23, 2013",India,Murder,Killed,Journalist,All other countries,2013,Staff
Rakesh Singh,Male,Rashtriya Swaroop,"November 28, 2020",India,Murder,Killed,Journalist,All other countries,2020,Staff
Ralikonelo Joki,Male,Ts’enolo FM,"May 14, 2023",Lesotho,Murder,Killed,Journalist,All other countries,2023,Staff
Ram Chander Chaterpatti,Male,Poora Sach,"November 21, 2002",India,Murder,Killed,Journalist,All other countries,2002,Staff
Ram Singh Biling,Male,"Azdi Awaz, Daily Ajit","January 3, 1992",India,Dangerous Assignment,Killed,Journalist,All other countries,1992,Staff
Raman Kashyap,Male,Sadhna Plus TV,"October 3-4, 2021",India,Dangerous Assignment,Killed,Journalist,All other countries,2021,Staff
Rami al-Sayed,Male,Freelancer,"February 21, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Freelancer
Rami Asmi,Male,Orient News,"December 8, 2014",Syria,Crossfire,Killed,Journalist,Middle East,2014,Staff
Rami Rayan,Male,Palestine Network for Press and Media,"July 30, 2014",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2014,Staff
Ramiz Ahmadi,Male,TOLO News,"September 5, 2018",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2018,Staff
Ramzan Khadzhiev,Male,Russian Public TV (ORT),"August 11, 1996",Russia,Murder,Killed,Journalist,All other countries,1996,Staff
Ramzan Mezhidov,Male,TV Tsentr,"October 29, 1999",Russia,Crossfire,Killed,Journalist,All other countries,1999,Staff
Rasheed Bakr,Male,"Al-Mohrar Media Network,Syria 1 News Agency","October 26, 2020",Syria,Crossfire,Killed,Journalist,Middle East,2020,Staff
Rashid Hamid Wali,Male,Al-Jazeera,"May 21, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Rashmi Mohamed,Male,Sirasa TV,"October 6, 2008",Sri Lanka,Dangerous Assignment,Killed,Journalist,All other countries,2008,Staff
Razzaq Gul,Male,Express News TV,"May 19, 2012",Pakistan,Murder,Killed,Journalist,All other countries,2012,Staff
Rehmatullah Abid,Male,"Dunya News TV, Intikhaab","November 18, 2012",Pakistan,Murder,Killed,Journalist,All other countries,2012,Staff
Reinaldo Coutinho da Silva,Male,Cachoeiras Jornal,"August 29, 1995",Brazil,Murder,Killed,Journalist,All other countries,1995,Staff
Rémi Ochlik,Male,Freelancer,"February 22, 2012",Syria,Murder,Killed,Journalist,Middle East,2012,Freelancer
Renante Cortes,Male,dyRB Radio,"July 22, 2021",Philippines,Murder,Killed,Journalist,All other countries,2021,Staff
Renato Blanco,Male,Power 102.1 DYRY RFM Mabinay,"September 18, 2022",Philippines,Murder,Killed,Journalist,All other countries,2022,Staff
Rex Cornelio Pepino,Male,Original Energy 93.7 FM,"May 20, 2020",Philippines,Murder,Killed,Journalist,All other countries,2020,Staff
