name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Mohammad Zare-Foumani,Male,Sedaye Eslahat,"October 9, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Mohammad-Bagher Moradi,Male,Freelancer,"Disappeared on May 30, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Mostafa Abdi,Male,Majzooban-e-Noor,"February 20, 2018",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2018,Staff
Mostafa Mohamed Saad,Male,Al-Jazeera,"November 8, 2019",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2019,Staff
Mustafa Gök,Male,Ekmek ve Adalet,"February 19, 2004",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2004,Staff
Mustafa Ünal,Male,Zaman,"July 27, 2016",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2016,Staff
Myo Min Tun,Male,"Ayeyarwaddy Times, Myitmakha News Group","October 22, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Myo San Soe,Male,"Delta News Agency, Ayeyarwaddy Times","August 29, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Nasrullah Lashani,Male,Freelancer,"June 7, 2020",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2020,Freelancer
Natnael Gecho,Male,Walaita Times,"November 28, 2022",Ethiopia,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Navid Seyed-Mohammadi,Male,Islamic Republic Radio and Television,February 2021,Iran,,Imprisoned,Journalist or Media Worker,Middle East,2021,Staff
Nay Naw,Male,Karen Information Center (KIC),"March 28, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Nguyen Hoai Nam,Male,Freelancer,"April 3, 2021",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Nguyen Phouc Trung Bao,Male,Bao Sach (Clean Newspaper),"April 20, 2021",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Nguyen Thanh Nha,Male,Bao Sach (Clean Newspaper),"April 20, 2021",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Nguyen Tuong Thuy,Male,Radio Free Asia,"May 21, 2020",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
Nguyen Van Hoa,Male,Radio Free Asia,"January 11, 2017",Vietnam,,Imprisoned,Journalist or Media Worker,All other countries,2017,Staff
Nika Gvaramia,Male,Mtavari Arkhi,"May 16, 2022",Georgia,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Niyaz Kahar,Male,Golden Tarim,July 2009,China,,Imprisoned,Journalist or Media Worker,All other countries,2009,Staff
Nurgeldi Halykov,Male,Turkmen.News,"July 13, 2020",Turkmenistan,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
Nyein Chan Wai,Male,Freelancer,"May 15, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Olivier Makambu,Male,Radio Communautaire pour le Renouveau du Kwango (RCRK),"November 16, 2022",Democratic Republic of the Congo,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
